CellName,LocalCellId,DlEarfcn,TxRxMode,FddTddInd
E_BJI174ML1_LimauMungkur-TBG_ML01,11,1850,2T2R,FDD
E_BJI174MT1_LimauMungkur-TBG_MT01,12,3500,2T2R,FDD
E_BJI174MR1_LimauMungkur-TBG_MR01,13,500,2T2R,FDD
E_BJI174ML1_LimauMungkur-TBG_ML02,21,1850,2T2R,FDD
E_BJI174MT1_LimauMungkur-TBG_MT02,22,3500,2T2R,FDD
E_BJI174MR1_LimauMungkur-TBG_MR02,23,500,2T2R,FDD
C_BJI174VE1_LimauMungkur-TBG_VE02,24,38750,32T32R,TDD
C_BJI174VF1_LimauMungkur-TBG_VF02,25,38948,32T32R,TDD
C_BJI174VV1_LimauMungkur-TBG_VV02,26,39092,32T32R,TDD
E_BJI174ML1_LimauMungkur-TBG_ML03,31,1850,2T2R,FDD
E_BJI174MT1_LimauMungkur-TBG_MT03,32,3500,2T2R,FDD
E_BJI174MR1_LimauMungkur-TBG_MR03,33,500,2T2R,FDD
C_BJI174VE1_LimauMungkur-TBG_VE03,34,38750,32T32R,TDD
C_BJI174VF1_LimauMungkur-TBG_VF03,35,38948,32T32R,TDD
C_BJI174VV1_LimauMungkur-TBG_VV03,36,39092,32T32R,TDD